City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Joigny,FR,47.9829,3.401,29.8,87,99,3.65,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,46.06,61,40,24.16,scattered clouds
2,Castro,BR,-24.7911,-50.0119,65.26,96,69,11.05,broken clouds
3,Qaanaaq,GL,77.484,-69.3632,1.89,93,100,5.39,overcast clouds
4,Wamba,NG,8.9333,8.6,73.78,29,19,4.03,few clouds
5,Raudeberg,NO,61.9875,5.1352,26.87,73,100,8.25,light snow
6,Henties Bay,NA,-22.116,14.2845,61.65,93,99,1.97,overcast clouds
7,Yenagoa,NG,4.9247,6.2642,77.34,84,13,4.05,few clouds
8,Victoria,HK,22.2855,114.1577,55.26,92,100,15.01,overcast clouds
9,Bredasdorp,ZA,-34.5322,20.0403,67.66,86,42,1.34,scattered clouds
10,Salvador,SV,13.8333,-88.9167,80.64,55,96,5.01,overcast clouds
11,Ribeira Grande,PT,38.5167,-28.7,59.4,77,40,23.02,light rain
12,Baijiantan,CN,45.6333,85.1833,12.29,82,100,3.13,overcast clouds
13,Brigantine,US,39.4101,-74.3646,41.0,54,0,9.22,clear sky
14,Floro,NO,61.5996,5.0328,27.97,59,75,10.36,light snow
15,Kalmunai,LK,7.4167,81.8167,75.78,87,51,3.65,broken clouds
16,Dikson,RU,73.5069,80.5464,9.21,93,100,23.69,light snow
17,Cidreira,BR,-30.1811,-50.2056,69.82,57,0,12.1,clear sky
18,Torbay,CA,47.6666,-52.7314,41.29,90,100,28.77,light rain
19,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,88,75,16.11,broken clouds
20,Hobyo,SO,5.3505,48.5268,77.65,70,0,16.08,clear sky
21,Sinnamary,GF,5.3833,-52.95,77.43,87,100,8.86,overcast clouds
22,Vila Velha,BR,-20.3297,-40.2925,78.75,87,100,23.0,light rain
23,Lagoa,PT,39.05,-27.9833,58.42,74,81,32.1,light rain
24,Punta Arenas,CL,-53.15,-70.9167,53.71,35,20,40.29,few clouds
25,Clyde River,CA,70.4692,-68.5914,3.43,85,100,10.36,overcast clouds
26,Marrakesh,MA,31.6315,-8.0083,69.87,64,20,8.05,few clouds
27,Port Alfred,ZA,-33.5906,26.891,66.18,97,78,5.99,broken clouds
28,Porto Novo,BJ,6.4965,2.6036,82.22,80,43,7.14,scattered clouds
29,Codrington,AU,-38.2667,141.9667,51.71,74,100,18.01,overcast clouds
30,Kavaratti,IN,10.5669,72.642,80.89,76,92,14.63,overcast clouds
31,Cape Town,ZA,-33.9258,18.4232,70.09,81,20,6.91,few clouds
32,Touros,BR,-5.1989,-35.4608,79.09,75,13,12.97,few clouds
33,Luanda,AO,-8.8368,13.2343,78.8,78,40,4.61,scattered clouds
34,Jamestown,US,42.097,-79.2353,33.44,35,0,0.0,clear sky
35,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,29,10.78,light rain
36,Berlevag,NO,70.8578,29.0864,28.2,93,100,2.3,light snow
37,Abu Dhabi,AE,24.4667,54.3667,71.71,63,0,2.3,clear sky
38,Quelimane,MZ,-17.8786,36.8883,78.75,88,75,5.01,light rain
39,Skibbereen,IE,51.55,-9.2667,40.1,83,100,23.58,overcast clouds
40,Utica,US,43.1009,-75.2327,26.73,82,21,5.86,few clouds
41,Hithadhoo,MV,-0.6,73.0833,80.08,76,100,9.55,overcast clouds
42,Busselton,AU,-33.65,115.3333,57.99,73,0,13.98,clear sky
43,Alta Floresta,BR,-9.8756,-56.0861,74.79,88,93,8.5,overcast clouds
44,Cayenne,GF,4.9333,-52.3333,80.64,83,0,6.91,clear sky
45,Chuy,UY,-33.6971,-53.4616,64.56,54,0,8.32,clear sky
46,Cabedelo,BR,-6.9811,-34.8339,81.27,75,15,13.09,few clouds
47,Paita,PE,-5.0892,-81.1144,70.25,78,100,9.84,overcast clouds
48,Storsteinnes,NO,69.2408,19.2344,19.38,78,100,3.67,overcast clouds
49,Otavi,NA,-19.65,17.3333,73.4,57,75,7.74,broken clouds
50,Bonavista,CA,48.6499,-53.1147,38.14,86,100,31.74,overcast clouds
51,Takoradi,GH,4.8845,-1.7554,79.63,84,21,7.36,few clouds
